uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ala,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.ala,collectie:parameter,Ala,Alachloor,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
alachlor_esa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.alachlor_esa,collectie:parameter,alachlor_ESA,alachlor-ESA,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
alachlor_oa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.alachlor_oa,collectie:parameter,alachlor_OA,alachlor-OA,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
al,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.al,collectie:parameter,Al,Aluminium,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
aldrin,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.aldrin,collectie:parameter,aldrin,Aldrin,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
alkaliniteit_tov_fenolftaleine,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.alkaliniteit_tov_fenolftaleine,collectie:parameter,alkaliniteit_tov_fenolftaleine,alkaliniteit t.o.v. fenolftaleine,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
alkaliniteit_tov_methyloranje,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.alkaliniteit_tov_methyloranje,collectie:parameter,alkaliniteit_tov_methyloranje,alkaliniteit t.o.v. methyloranje,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
alox,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.alox,collectie:parameter,alox,Oxalaat extraheerbaar aluminium,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
ametryn,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.ametryn,collectie:parameter,AMETRYN,Ametryn,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
amidotriz,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.amidotriz,collectie:parameter,Amidotriz,Amidotrizoïnezuur,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
ampa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.ampa,collectie:parameter,AMPA,AMPA,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
an_det,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.an_det,collectie:parameter,an_det,anionische detergenten (alkylbenzeensulfonaat),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
anorganische_c_perc,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.anorganische_c_perc,collectie:parameter,anorganische_c_perc,Anorganische C - percentage,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
antraceen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.antraceen,collectie:parameter,antraceen,antraceen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
antropogeen_perc_steken,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.antropogeen_perc_steken,collectie:parameter,antropogeen_perc_steken,Percentage steken met aanwezigheid antropogeen materiaal,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
antropogeen_specificatie,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.antropogeen_specificatie,collectie:parameter,antropogeen_specificatie,Specificatie van antropogeen materiaal,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
aox,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.aox,collectie:parameter,AOX,Absorbeerbare Organohalogeenverbindingen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
as,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.as,collectie:parameter,As,Arseen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
asgehalte,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.asgehalte,collectie:parameter,Asgehalte,Asgehalte,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
astm_code,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.astm_code,collectie:parameter,ASTM_code,"Grondsoort volgens ASTM, de code",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
